"Name";"Constituency";"Minister";"Attendance";"Debates";"Questions";"Private Member Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Comment";"Lok Sabha";"Debates (Special Mention)";"Debates (Ls - Matters Under (Rule-377))";"Debates (Government Bills)";"Debates (Budget (General))";"Debates (Budget (Railways))";"Debates (Motion Of Thanks On The President'S Address)";"Debates (Submissions By Members)";"Debates (Ls - Motion To Consider Policy, Situation, Statement Or Any Other Matter (Rule- 191 & 342))";"Debates (Ls - Short Duration Discussions (Rule-193))";"Questions (Tribal Affairs)";"Questions (Finance)";"Questions (Health And Family Welfare)";"Questions (Corporate Affairs)";"Questions (Heavy Industries And Public Enterprises)";"Questions (Railways)";"Questions (Human Resource Development)";"Questions (Urban Development)";"Questions (Home Affairs)";"Questions (Agriculture)";"Questions (Civil Aviation)";"Questions (Prime Minister)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Environment And Forests)";"Questions (Labour And Employment)";"Questions (Defence)";"Questions (Power)";"Questions (Social Justice And Empowerment)";"Questions (Road Transport And Highways)";"Questions (Steel)";"Questions (Petroleum And Natural Gas)";"Questions (Minority Affairs)";"Questions (Communications And Information Technology)";"Questions (Rural Development)";"Questions (Commerce And Industry)";"Questions (Overseas Indian Affairs)";"Questions (External Affairs)";"Questions (Chemicals And Fertilizers)";"Questions (Law And Justice)";"Questions (Mines)";"Questions (Women And Child Development)";"Questions (New And Renewable Energy)";"Questions (Shipping)";"Questions (Tourism)";"Questions (Micro, Small And Medium Enterprises)";"Questions (Information And Broadcasting)";"Questions (Textiles)";"Questions (Water Resources)";"Questions (Culture)";"Questions (Youth Affairs And Sports)";"Questions (Coal)";"Questions (Housing And Urban Poverty Alleviation)";"Questions (Drinking Water And Sanitation)";"Questions (Development Of North Eastern Region)";"Questions (Earth Sciences)";"Questions (Panchayati Raj)";"Questions (Food Processing Industries)";"Questions (Statistics And Programme Implementation)";"Questions (Science And Technology)";"Debates (Private Members' Bills)";"Debates (Private Members' Resolutions)";"Debates (Government Resolutions)";"Debates (Ls - Calling Attention (Rule-197))";"Debates (Budget (States))";"Debates (Ls - Matters Of Urgent Public Importance (Rule-184))";"Debates (Statutory Resolutions)";"Debates (Felicitations)";"Debates (Adjournment Motion)";"Debates (Ls - Half-An-Hour Discussions (Rule-55))";"Questions (Parliamentary Affairs)";"Debates (Others)";"Debates (Clarification On The Statement By Minister)";"Questions (Planning)";"Debates (Ls - Explanation By Members (Rule-199))"
"Dushyant Singh";"Jhalawar-Baran";"No";"75.19%";"31";"351";"0";"Rajasthan";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"40";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"5";"15";"1";"1";"3";"1";"1";"0";"2";"1";"18";"29";"0";"0";"12";"17";"7";"14";"15";"7";"13";"12";"12";"6";"7";"17";"3";"13";"3";"13";"1";"11";"19";"14";"1";"4";"8";"1";"4";"3";"13";"2";"4";"4";"1";"7";"7";"1";"9";"3";"1";"3";"0";"1";"2";"8";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"D.V. Sadananda Gowda";"Udupi Chikmagalur";"No";"45.11%";"17";"72";"0";"Karnataka";"Bharatiya Janata Party";"Elected";"18 May 09";"29/12/2011";"";"60";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"8";"2";"0";"1";"2";"1";"1";"1";"1";"1";"4";"2";"0";"0";"5";"2";"1";"7";"5";"1";"1";"2";"4";"0";"2";"3";"2";"9";"0";"1";"0";"0";"2";"3";"1";"0";"0";"0";"0";"2";"0";"0";"3";"0";"2";"0";"2";"1";"2";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"E. Ahamed";"Malappuram";"Yes";"0.00%";"0";"0";"0";"Kerala";"Muslim League Kerala State Committee";"Elected";"18 May 09";"In office";"";"75";"Male";"Graduate";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"E.G. Sugavanam";"Krisnagiri";"No";"58.94%";"25";"907";"0";"Tamil Nadu";"Dravida Munnetra Kazhagam";"Elected";"18 May 09";"In office";"";"56";"Male";"Diploma Course";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"15";"1";"2";"5";"1";"0";"0";"0";"4";"49";"51";"2";"23";"79";"38";"21";"70";"22";"47";"29";"19";"30";"15";"21";"25";"4";"32";"8";"30";"0";"29";"8";"32";"4";"31";"5";"13";"4";"8";"14";"18";"22";"5";"20";"17";"4";"13";"14";"4";"8";"4";"0";"2";"3";"2";"2";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Eknath Mahadeo Gaikwad";"Mumbai-South-Central";"No";"97.69%";"11";"1020";"0";"Maharashtra";"Indian National Congress";"Elected";"18 May 09";"In office";"";"74";"Male";"Under Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"2";"8";"0";"0";"1";"0";"0";"0";"0";"3";"104";"86";"24";"16";"38";"55";"20";"87";"25";"50";"31";"26";"43";"20";"18";"17";"5";"27";"3";"20";"3";"42";"28";"44";"6";"19";"22";"17";"3";"15";"3";"14";"7";"6";"21";"11";"6";"4";"6";"11";"6";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"E. T. Mohammed Basheer";"Ponnani";"No";"77.00%";"53";"158";"0";"Kerala";"Muslim League Kerala State Committee";"Elected";"18 May 09";"In office";"";"67";"Male";"Inter/ Higher Secondary";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"5";"6";"14";"10";"8";"3";"2";"1";"2";"0";"12";"9";"1";"0";"5";"26";"2";"6";"12";"3";"1";"3";"7";"13";"1";"4";"3";"1";"0";"2";"12";"3";"7";"5";"3";"2";"1";"1";"0";"2";"0";"2";"0";"2";"0";"0";"3";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Farooq Abdullah";"Srinagar";"Yes";"";"0";"0";"0";"Jammu and Kashmir";"Jammu and Kashmir National Conference";"Elected";"18 May 09";"In office";"";"76";"Male";"Graduate";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Feroze Varun Gandhi";"Pilibhit";"No";"59.69%";"2";"641";"2";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"33";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"2";"5";"24";"60";"1";"2";"26";"62";"11";"42";"47";"8";"9";"16";"40";"19";"10";"16";"9";"14";"3";"7";"0";"15";"25";"16";"1";"7";"14";"10";"2";"16";"9";"4";"11";"4";"6";"14";"17";"8";"6";"6";"6";"6";"1";"1";"1";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Francisco Sardinha";"South Goa";"No";"94.81%";"13";"287";"1";"Goa";"Indian National Congress";"Elected";"18 May 09";"In office";"";"67";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"3";"1";"2";"3";"2";"1";"0";"0";"0";"5";"19";"16";"0";"2";"9";"12";"6";"12";"21";"12";"13";"5";"12";"6";"4";"8";"4";"9";"3";"7";"2";"9";"6";"10";"1";"8";"10";"2";"2";"7";"3";"5";"2";"1";"3";"4";"2";"0";"4";"5";"2";"2";"0";"1";"3";"3";"1";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gaddam Vivekanand";"Peddapalle";"No";"71.62%";"11";"57";"0";"Andhra Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"56";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"2";"1";"2";"5";"0";"0";"0";"0";"0";"0";"4";"4";"1";"0";"1";"3";"0";"7";"2";"1";"3";"2";"4";"3";"5";"2";"3";"0";"0";"0";"0";"0";"1";"3";"0";"2";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gadhvi Mukeshkumar Bhairavdanji";"Banaskantha";"No";"74.46%";"5";"352";"0";"Gujarat";"Indian National Congress";"Elected";"18 May 09";"28/02/2013";"";"51";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"0";"0";"0";"2";"1";"1";"0";"0";"3";"27";"24";"1";"5";"29";"25";"8";"11";"19";"7";"5";"8";"4";"8";"3";"13";"2";"7";"1";"15";"1";"30";"8";"7";"1";"5";"8";"6";"2";"1";"8";"2";"3";"4";"12";"5";"7";"0";"0";"5";"2";"0";"0";"2";"1";"1";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gajanan Dharmshi Babar";"Maval";"No";"73.44%";"24";"1176";"0";"Maharashtra";"Shiv Sena";"Elected";"18 May 09";"In office";"";"70";"Male";"Under Matric";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"3";"13";"1";"2";"3";"0";"2";"0";"0";"6";"60";"110";"4";"4";"57";"118";"10";"72";"77";"25";"23";"43";"49";"19";"35";"26";"7";"48";"3";"60";"2";"37";"48";"32";"1";"9";"19";"13";"5";"20";"8";"5";"8";"2";"8";"16";"33";"1";"9";"15";"6";"4";"0";"2";"8";"5";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gajendra Singh Rajukhedi";"Dhar";"No";"86.19%";"2";"125";"0";"Madhya Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"49";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"19";"4";"0";"3";"8";"6";"2";"9";"2";"8";"5";"0";"3";"1";"7";"1";"1";"10";"1";"8";"0";"4";"3";"1";"0";"2";"4";"0";"3";"0";"1";"1";"0";"0";"2";"0";"2";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ganesh Singh";"Satna";"No";"82.62%";"145";"620";"0";"Madhya Pradesh";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"51";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"70";"30";"7";"11";"9";"5";"6";"1";"5";"4";"24";"35";"1";"1";"28";"48";"8";"40";"44";"23";"18";"35";"17";"15";"18";"19";"8";"19";"4";"21";"6";"20";"17";"17";"6";"9";"7";"12";"2";"12";"5";"2";"4";"5";"2";"6";"12";"4";"14";"8";"5";"1";"1";"2";"0";"8";"1";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gangasandra Siddappa Basavaraj";"Tumkur";"No";"72.56%";"2";"161";"2";"Karnataka";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"72";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"1";"0";"0";"0";"0";"0";"0";"0";"2";"14";"8";"2";"1";"3";"9";"3";"12";"0";"4";"10";"2";"2";"5";"11";"9";"2";"8";"2";"5";"1";"3";"4";"6";"1";"6";"0";"5";"0";"2";"2";"1";"0";"4";"3";"2";"3";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ghansyam Anuragi";"Jalaun";"No";"88.44%";"52";"304";"0";"Uttar Pradesh";"Samajwadi Party";"Elected";"18 May 09";"In office";"";"41";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"14";"4";"6";"9";"5";"2";"2";"3";"3";"1";"24";"27";"0";"0";"21";"26";"3";"11";"22";"4";"6";"15";"16";"9";"0";"13";"5";"11";"1";"10";"1";"8";"14";"0";"1";"1";"3";"0";"2";"8";"5";"0";"1";"1";"5";"5";"15";"0";"2";"2";"2";"1";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Girija Vyas";"Chittorgarh";"Yes";"90.00%";"22";"16";"0";"Rajasthan";"Indian National Congress";"Elected";"18 May 09";"In office";"";"67";"Female";"Doctorate";"This MP was appointed a minister in Jun, 2013. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till 8th May, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"4";"0";"5";"2";"1";"4";"4";"0";"1";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"5";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gobinda Chandra Naskar";"Bongaon";"No";"85.38%";"8";"1";"0";"West Bengal";"All India Trinamool Congress";"Elected";"18 May 09";"In office";"";"72";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"2";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gopal Singh Shekhawat";"Rajsamand";"No";"87.75%";"25";"115";"0";"Rajasthan";"Indian National Congress";"Elected";"18 May 09";"In office";"";"63";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"2";"20";"0";"0";"2";"0";"1";"0";"0";"0";"5";"6";"0";"0";"12";"7";"0";"3";"10";"2";"3";"4";"7";"2";"7";"4";"0";"3";"0";"1";"0";"4";"4";"1";"2";"0";"2";"3";"1";"1";"0";"0";"2";"1";"3";"4";"4";"1";"1";"0";"0";"1";"0";"0";"2";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gorakh Prasad Jaiswal";"Deoria";"No";"88.69%";"37";"722";"0";"Uttar Pradesh";"Bahujan Samaj Party";"Elected";"18 May 09";"In office";"";"75";"Male";"Matric";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"10";"21";"0";"2";"3";"0";"0";"0";"1";"0";"38";"42";"3";"2";"31";"36";"17";"31";"42";"14";"45";"35";"12";"18";"4";"26";"11";"16";"2";"29";"2";"40";"39";"33";"2";"1";"6";"10";"3";"11";"7";"5";"3";"8";"11";"21";"29";"2";"9";"12";"6";"0";"0";"0";"3";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Goraknath Pandey";"Bhadohi";"No";"94.25%";"97";"139";"0";"Uttar Pradesh";"Bahujan Samaj Party";"Elected";"18 May 09";"In office";"";"62";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"23";"13";"20";"12";"8";"5";"0";"2";"7";"2";"2";"10";"0";"0";"12";"10";"2";"11";"8";"0";"1";"3";"2";"0";"3";"4";"2";"5";"0";"3";"1";"3";"5";"7";"1";"2";"2";"8";"0";"3";"2";"1";"2";"3";"2";"7";"4";"0";"4";"1";"0";"0";"0";"1";"0";"0";"0";"0";"4";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Govind Prasad Mishra";"Sidhi";"No";"95.44%";"41";"176";"0";"Madhya Pradesh";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"64";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"29";"0";"1";"1";"3";"0";"5";"1";"0";"3";"16";"8";"0";"0";"8";"10";"2";"10";"11";"7";"5";"8";"3";"8";"11";"7";"4";"4";"2";"5";"2";"3";"4";"5";"1";"3";"2";"1";"0";"1";"1";"0";"0";"0";"0";"0";"6";"1";"4";"6";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gowdar Mallikarjunappa Siddeswara";"Davanagere";"No";"56.00%";"15";"888";"0";"Karnataka";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"61";"Male";"Matric";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"6";"0";"0";"3";"3";"0";"2";"0";"0";"8";"34";"51";"2";"5";"33";"52";"16";"30";"40";"32";"28";"50";"27";"30";"21";"28";"9";"28";"6";"39";"6";"39";"20";"25";"1";"4";"21";"17";"4";"21";"14";"6";"7";"12";"19";"16";"20";"6";"5";"19";"12";"2";"0";"4";"2";"11";"3";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gurudas Dasgupta";"Ghatal";"No";"89.19%";"94";"505";"0";"West Bengal";"Communist Party of India";"Elected";"18 May 09";"In office";"";"77";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"19";"0";"11";"1";"0";"1";"29";"3";"15";"2";"56";"22";"5";"6";"15";"26";"4";"43";"10";"18";"26";"20";"24";"36";"11";"6";"3";"5";"3";"13";"1";"19";"19";"24";"0";"23";"4";"13";"4";"6";"0";"6";"1";"0";"3";"4";"6";"0";"4";"12";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"8";"0";"2";"0";"2";"0";"0";"0";"1";"1";"0";"0"
"Gurudas Kamat";"Mumbai-North-West";"Yes";"87.00%";"0";"0";"0";"Maharashtra";"Indian National Congress";"Elected";"18 May 09";"In office";"";"59";"Male";"Post Graduate";"This MP was a Minister. He tendered his resignation on 28th Oct, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 29th Oct, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"G.V. Harsha Kumar";"Amalapuram";"No";"77.50%";"3";"34";"0";"Andhra Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"54";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"2";"2";"0";"0";"0";"1";"0";"1";"6";"0";"2";"2";"1";"0";"1";"0";"1";"1";"0";"1";"0";"3";"0";"5";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hamdullah Sayeed";"Lakshadweep";"No";"72.69%";"36";"631";"2";"Lakshadweep";"Indian National Congress";"Elected";"18 May 09";"In office";"";"31";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"6";"23";"3";"3";"0";"1";"0";"0";"0";"7";"15";"59";"0";"2";"20";"53";"13";"65";"37";"18";"28";"14";"38";"21";"25";"6";"6";"13";"0";"9";"5";"9";"23";"2";"3";"9";"12";"14";"2";"16";"6";"19";"4";"3";"2";"3";"6";"9";"9";"1";"6";"3";"0";"5";"3";"5";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hansraj Gangaram Ahir";"Chandrapur";"No";"71.31%";"114";"1005";"31";"Maharashtra";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"59";"Male";"Inter/ Higher Secondary";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"40";"17";"8";"16";"8";"2";"9";"2";"8";"4";"61";"68";"1";"4";"44";"47";"9";"60";"61";"17";"32";"44";"42";"23";"38";"30";"13";"17";"12";"30";"5";"33";"22";"32";"2";"19";"16";"14";"5";"18";"14";"4";"8";"12";"13";"13";"26";"8";"10";"52";"6";"1";"0";"4";"1";"1";"4";"5";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Haribhai Parthibhai Chaudhary";"Banaskantha";"No";"86.00%";"4";"33";"0";"Gujarat";"Bharatiya Janata Party";"Elected";"5 Aug 13";"In office";"";"59";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"2";"2";"0";"3";"0";"1";"0";"2";"2";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"5";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Haribhau Madhav Jawale";"Raver";"No";"80.38%";"53";"404";"1";"Maharashtra";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"60";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"18";"12";"1";"5";"6";"4";"0";"1";"4";"9";"34";"16";"0";"1";"25";"15";"2";"9";"21";"8";"15";"36";"12";"9";"10";"0";"5";"14";"2";"8";"3";"11";"18";"17";"0";"0";"9";"1";"0";"5";"17";"0";"3";"5";"2";"6";"13";"3";"3";"4";"4";"6";"0";"2";"4";"12";"2";"3";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hari Manjhi";"Gaya";"No";"92.94%";"18";"128";"0";"Bihar";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"51";"Male";"Under Matric";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"5";"10";"0";"0";"2";"0";"1";"0";"0";"0";"4";"10";"0";"2";"6";"3";"1";"18";"6";"5";"5";"4";"3";"5";"9";"3";"1";"4";"0";"4";"0";"4";"5";"2";"0";"3";"2";"0";"1";"5";"0";"1";"0";"0";"2";"0";"2";"0";"1";"3";"1";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Harin Pathak";"Ahmedabad East";"No";"82.88%";"34";"374";"0";"Gujarat";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"66";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"4";"14";"3";"3";"3";"0";"5";"0";"1";"0";"15";"21";"0";"0";"39";"31";"12";"30";"13";"7";"3";"6";"23";"5";"3";"8";"4";"29";"1";"12";"0";"4";"12";"14";"2";"12";"2";"3";"3";"6";"0";"8";"1";"1";"1";"2";"8";"3";"1";"16";"1";"5";"0";"0";"4";"1";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Harischandra Deoram Chavan";"Dindori";"No";"77.75%";"8";"791";"0";"Maharashtra";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"62";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"3";"0";"0";"4";"0";"0";"0";"0";"22";"33";"23";"12";"7";"20";"28";"9";"31";"44";"29";"38";"23";"25";"20";"24";"12";"16";"22";"1";"14";"19";"16";"18";"23";"10";"14";"16";"9";"4";"16";"13";"8";"7";"19";"20";"18";"11";"12";"12";"10";"12";"8";"0";"9";"8";"14";"5";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Harish Choudhary";"Barmer";"No";"88.38%";"54";"648";"0";"Rajasthan";"Indian National Congress";"Elected";"18 May 09";"In office";"";"43";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"8";"25";"5";"6";"4";"2";"0";"0";"1";"0";"41";"30";"4";"4";"21";"44";"3";"34";"50";"9";"24";"27";"15";"16";"23";"11";"4";"12";"1";"53";"5";"24";"31";"23";"1";"12";"6";"6";"2";"8";"5";"4";"8";"3";"6";"16";"18";"2";"10";"2";"10";"3";"0";"0";"5";"9";"2";"1";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Harish Rawat";"Hardwar";"Yes";"";"0";"0";"0";"Uttarakhand";"Indian National Congress";"Elected";"18 May 09";"In office";"";"65";"Male";"Graduate";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
