"Name";"Constituency";"Attendance";"Debates";"Questions";"Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Lok Sabha";"Debates (Ls - Matters Under (Rule-377))";"Debates (Special Mention)";"Debates (Government Bills)";"Debates (Budget (General))";"Debates (Ls - Short Duration Discussions (Rule-193))";"Debates (Budget (Railways))";"Debates (Submissions By Members)";"Debates (Motion Of Thanks On The President'S Address)";"Questions (Housing And Urban Affairs)";"Questions (Steel)";"Questions (Women And Child Development)";"Questions (Home Affairs)";"Questions (Finance)";"Questions (Defence)";"Questions (Health And Family Welfare)";"Questions (Civil Aviation)";"Questions (Railways)";"Questions (Commerce And Industry)";"Questions (Drinking Water And Sanitation)";"Questions (Coal)";"Questions (Water Resources, River Development And Ganga Rejuvenation)";"Questions (External Affairs)";"Questions (Textiles)";"Questions (Urban Development)";"Questions (Prime Minister)";"Questions (Shipping)";"Questions (Housing And Urban Poverty Alleviation)";"Questions (Communications And Information Technology)";"Questions (Rural Development)";"Questions (Labour And Employment)";"Questions (Culture)";"Questions (Power)";"Questions (Agriculture And Farmers Welfare)";"Questions (Human Resource Development)";"Questions (Agriculture)";"Questions (Road Transport And Highways)";"Questions (Minority Affairs)";"Questions (Mines)";"Questions (Heavy Industries And Public Enterprises)";"Questions (Environment, Forests And Climate Change)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Petroleum And Natural Gas)";"Questions (New And Renewable Energy)";"Questions (Tourism)";"Questions (Information And Broadcasting)";"Questions (Social Justice And Empowerment)";"Questions (Micro, Small And Medium Enterprises)";"Debates (Private Members' Resolutions)";"Debates (Ls - Calling Attention (Rule-197))";"Questions (Communications)";"Questions (Environment, Forest And Climate Change)";"Questions (Food Processing Industries)";"Questions (Tribal Affairs)";"Questions (Electronics And Information Technology)";"Questions (Youth Affairs And Sports)";"Questions (Chemicals And Fertilizers)";"Questions (Panchayati Raj)";"Questions (Ayush)";"Questions (Science And Technology)";"Questions (Law And Justice)";"Questions (Statistics And Programme Implementation)";"Questions (Skill Development And Entrepreneurship)";"Questions (Corporate Affairs)";"Questions (Earth Sciences)";"Questions (Skill Development, Entrepreneurship, Youth Affairs And Sports)";"Questions (Development Of North Eastern Region)";"Debates (Private Members' Bills)";"Debates (Statutory Resolution And Government Bill)";"Questions (Planning)";"Questions (Water Resources)";"Debates (Government Resolutions)";"Questions (Overseas Indian Affairs)";"Debates (Others)";"Debates (Adjournment Motion)";"Questions (Personnel, Public Grievances And Pensions)";"Debates (Felicitations)";"Questions (Parliamentary Affairs)";"Debates (Ls - No-Confidence Motion (Rule-198))";"Debates (Clarification On The Statement By Minister)";"Debates (Statutory Resolutions)";"Debates (Budget (States))";"Debates (Ls - Half-An-Hour Discussions (Rule-55))";"Debates (Ls - Personal Explanation By Members (Rule-357))";"Questions (Atomic Energy)"
"Jagdambika Pal";"Domariyaganj";"90.65%";"192";"381";"17";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Second";"68";"Male";"Post Graduate";"16th";"25";"102";"14";"14";"7";"4";"6";"5";"2";"0";"12";"18";"15";"12";"21";"10";"12";"2";"9";"2";"7";"6";"2";"4";"5";"2";"1";"13";"12";"11";"8";"8";"11";"23";"7";"16";"3";"1";"2";"11";"7";"4";"6";"16";"3";"9";"4";"5";"2";"7";"6";"1";"1";"0";"5";"10";"2";"7";"0";"6";"1";"1";"3";"1";"3";"3";"7";"0";"6";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Jai Prakash Narayan Yadav";"Banka";"89.18%";"208";"166";"2";"Bihar";"Rashtriya Janata Dal";"Elected";"18-May-14";"In office";"Second";"64";"Male";"Post Graduate";"16th";"13";"57";"57";"28";"15";"5";"18";"6";"0";"0";"4";"6";"14";"2";"8";"5";"13";"3";"1";"3";"13";"1";"4";"2";"2";"1";"1";"2";"7";"3";"0";"5";"5";"8";"5";"5";"0";"1";"0";"1";"5";"5";"1";"3";"3";"3";"2";"1";"0";"2";"2";"1";"2";"1";"0";"3";"0";"1";"0";"0";"0";"4";"0";"0";"1";"0";"2";"0";"1";"1";"2";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Janak Ram";"Gopalganj";"97.06%";"22";"165";"0";"Bihar";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"45";"Male";"Post Graduate";"16th";"13";"8";"0";"1";"0";"0";"0";"0";"1";"2";"7";"5";"8";"7";"7";"1";"5";"5";"1";"3";"4";"4";"3";"3";"3";"1";"1";"0";"5";"3";"4";"5";"9";"12";"0";"5";"0";"1";"3";"0";"4";"2";"0";"2";"2";"2";"0";"0";"0";"4";"3";"0";"1";"1";"2";"4";"0";"1";"0";"3";"3";"4";"2";"3";"0";"2";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Janardan Mishra";"Rewa";"91.24%";"38";"147";"0";"Madhya Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"62";"Male";"Professional Graduate";"16th";"9";"19";"1";"4";"2";"2";"0";"0";"0";"1";"6";"2";"9";"0";"5";"6";"9";"2";"3";"1";"5";"2";"3";"2";"4";"0";"0";"0";"3";"5";"2";"3";"5";"8";"0";"3";"0";"1";"1";"1";"4";"1";"3";"3";"3";"3";"2";"0";"0";"3";"7";"0";"1";"2";"4";"2";"0";"4";"4";"1";"1";"3";"1";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Janardan Singh Sigriwal";"Maharajganj";"96.82%";"76";"422";"10";"Bihar";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"60";"Male";"Post Graduate";"16th";"25";"31";"1";"7";"2";"4";"1";"1";"7";"4";"7";"13";"17";"5";"34";"2";"19";"14";"15";"6";"8";"4";"3";"4";"9";"1";"4";"9";"17";"12";"3";"7";"13";"28";"10";"9";"1";"1";"2";"10";"9";"14";"8";"3";"12";"12";"2";"0";"0";"3";"4";"3";"2";"2";"6";"7";"4";"10";"4";"7";"3";"2";"1";"0";"2";"0";"3";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Jasvantsinh Sumanbhai Bhabhor";"Dahod";"90.50%";"11";"138";"0";"Gujarat";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"50";"Male";"Graduate";"16th";"0";"0";"0";"5";"1";"3";"0";"2";"0";"0";"1";"4";"12";"0";"6";"0";"19";"6";"1";"1";"6";"0";"1";"0";"2";"4";"1";"9";"7";"5";"0";"1";"6";"8";"1";"3";"0";"0";"2";"3";"12";"4";"1";"1";"0";"1";"2";"0";"0";"0";"0";"1";"3";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Jayadev Galla";"Guntur";"85.18%";"120";"496";"6";"Andhra Pradesh";"Telugu Desam Party";"Elected";"18-May-14";"In office";"First";"53";"Male";"Graduate";"16th";"35";"26";"31";"10";"9";"2";"0";"4";"2";"4";"3";"19";"38";"14";"28";"18";"11";"26";"17";"5";"5";"8";"10";"9";"14";"4";"7";"8";"7";"6";"1";"6";"17";"25";"11";"13";"3";"3";"5";"6";"14";"11";"10";"6";"2";"3";"6";"0";"1";"8";"5";"7";"2";"5";"3";"8";"5";"12";"3";"7";"3";"9";"5";"3";"3";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"Jayant Sinha";"Hazaribagh";"98.00%";"2";"9";"0";"Jharkhand";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"55";"Male";"Professional Post Graduate";"16th";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Jayshreeben Kanubhai Patel";"Mehesana";"97.29%";"132";"397";"6";"Gujarat";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Second";"59";"Female";"Matric";"16th";"39";"37";"4";"28";"7";"5";"3";"6";"0";"3";"7";"13";"38";"6";"30";"12";"18";"12";"3";"17";"6";"6";"4";"4";"6";"3";"5";"8";"7";"11";"4";"3";"15";"20";"18";"7";"3";"3";"0";"16";"5";"12";"6";"9";"0";"5";"3";"0";"0";"5";"8";"0";"0";"4";"4";"3";"1";"2";"3";"12";"0";"0";"2";"3";"2";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"J.C. Divakar Reddy";"Anantapur";"73.29%";"4";"336";"1";"Andhra Pradesh";"Telugu Desam Party";"Elected";"18-May-14";"In office";"First";"75";"Male";"Graduate";"16th";"0";"3";"0";"1";"0";"0";"0";"0";"3";"2";"3";"15";"31";"8";"19";"11";"16";"10";"4";"4";"13";"1";"5";"6";"3";"2";"2";"9";"7";"3";"4";"3";"19";"19";"16";"4";"3";"3";"0";"11";"3";"6";"6";"11";"1";"3";"1";"0";"0";"5";"6";"0";"5";"3";"5";"4";"0";"1";"2";"7";"1";"2";"1";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Jhina Hikaka";"Koraput";"65.71%";"7";"17";"0";"Odisha";"Biju Janata Dal";"Elected";"18-May-14";"In office";"First";"43";"Male";"Post Graduate";"16th";"2";"0";"1";"1";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"1";"3";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Jitendra Choudhury";"Tripura East";"84.53%";"120";"307";"0";"Tripura";"Communist Party of India (Marxist)";"Elected";"18-May-14";"In office";"First";"60";"Male";"Inter/ Higher Secondary";"16th";"4";"78";"10";"9";"2";"2";"7";"2";"0";"0";"4";"30";"11";"8";"32";"6";"17";"14";"12";"1";"15";"4";"0";"2";"7";"0";"2";"1";"6";"13";"0";"2";"11";"12";"5";"15";"1";"0";"0";"7";"7";"6";"0";"2";"0";"3";"0";"0";"0";"2";"8";"1";"13";"4";"3";"3";"1";"1";"1";"3";"0";"3";"0";"0";"0";"6";"3";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"J. Jayavardhan";"Chennai South";"82.35%";"65";"817";"0";"Tamil Nadu";"All India Anna Dravida Munnetra Kazhagam";"Elected";"18-May-14";"In office";"First";"31";"Male";"Professional Post Graduate";"16th";"9";"37";"2";"10";"2";"1";"1";"1";"19";"1";"11";"38";"51";"28";"49";"32";"34";"21";"7";"23";"11";"11";"6";"8";"7";"14";"5";"8";"12";"18";"9";"11";"49";"57";"6";"28";"29";"1";"5";"3";"17";"14";"8";"11";"11";"13";"5";"0";"1";"5";"13";"0";"7";"4";"6";"7";"2";"12";"40";"4";"2";"13";"1";"6";"1";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"J. Jeyasingh Thiyagaraj Natterjee";"Thoothukkudi";"78.35%";"22";"303";"0";"Tamil Nadu";"All India Anna Dravida Munnetra Kazhagam";"Elected";"18-May-14";"In office";"First";"65";"Male";"Post Graduate";"16th";"8";"5";"5";"1";"1";"1";"1";"0";"5";"2";"5";"11";"8";"15";"27";"5";"9";"8";"10";"1";"5";"6";"3";"3";"11";"4";"2";"3";"7";"7";"3";"5";"20";"20";"5";"7";"1";"0";"1";"1";"10";"7";"8";"8";"0";"1";"1";"0";"0";"5";"8";"2";"4";"4";"0";"2";"0";"11";"2";"4";"1";"1";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Joice George";"Idukki";"86.41%";"290";"545";"9";"Kerala";"Independent";"Elected";"18-May-14";"In office";"First";"48";"Male";"Post Graduate";"16th";"31";"168";"21";"15";"5";"3";"41";"6";"8";"1";"6";"18";"31";"10";"44";"13";"18";"28";"6";"5";"13";"5";"5";"5";"20";"5";"3";"6";"8";"5";"9";"11";"27";"28";"16";"16";"8";"0";"1";"22";"9";"5";"8";"7";"0";"3";"4";"0";"0";"7";"15";"4";"17";"5";"5";"8";"6";"6";"5";"7";"4";"5";"2";"5";"0";"0";"0";"0";"5";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Jose K. Mani";"Kottayam";"75.50%";"109";"373";"0";"Kerala";"Kerala Congress (M)";"Elected";"18-May-14";"01-07-2018";"Second";"53";"Male";"Post Graduate";"16th";"20";"48";"8";"10";"2";"3";"11";"4";"2";"0";"8";"20";"35";"11";"16";"20";"23";"15";"4";"6";"2";"5";"1";"3";"11";"2";"1";"10";"9";"11";"3";"5";"7";"21";"11";"9";"2";"3";"0";"12";"17";"8";"1";"2";"6";"3";"2";"0";"0";"4";"2";"3";"2";"3";"5";"5";"0";"1";"2";"7";"0";"2";"0";"4";"1";"0";"0";"0";"5";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"Jugal Kishore";"Jammu";"91.35%";"92";"292";"1";"Jammu and Kashmir";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"56";"Male";"Matric";"16th";"27";"28";"4";"16";"6";"4";"1";"4";"2";"1";"11";"18";"11";"7";"15";"9";"20";"3";"7";"6";"6";"1";"8";"1";"3";"1";"1";"3";"8";"7";"5";"5";"9";"10";"0";"5";"3";"9";"4";"4";"3";"6";"4";"9";"2";"5";"5";"1";"0";"2";"6";"6";"5";"2";"3";"3";"2";"11";"0";"2";"1";"7";"0";"3";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Jyoti Dhurve";"Betul";"81.65%";"64";"230";"0";"Madhya Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Second";"52";"Female";"Post Graduate";"16th";"11";"34";"0";"10";"1";"3";"2";"3";"1";"4";"9";"3";"8";"4";"8";"4";"9";"7";"5";"3";"7";"0";"5";"1";"2";"1";"4";"6";"11";"8";"6";"4";"11";"19";"5";"4";"3";"3";"3";"5";"4";"3";"3";"5";"1";"6";"1";"0";"0";"1";"1";"3";"6";"2";"3";"4";"0";"4";"1";"1";"0";"3";"4";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Jyotiraditya Madhavrao Scindia";"Guna";"70.88%";"48";"856";"1";"Madhya Pradesh";"Indian National Congress";"Elected";"18-May-14";"In office";"Fourth";"48";"Male";"Post Graduate";"16th";"0";"18";"3";"2";"6";"0";"12";"3";"5";"1";"19";"71";"51";"31";"51";"24";"59";"33";"13";"16";"21";"32";"2";"15";"4";"3";"11";"15";"37";"16";"3";"26";"20";"58";"11";"31";"1";"5";"2";"19";"27";"24";"3";"4";"6";"1";"0";"0";"1";"6";"14";"6";"5";"7";"0";"3";"3";"1";"4";"11";"2";"7";"1";"2";"0";"3";"0";"1";"4";"6";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Kadiyam Srihari";"Warangal";"62.25%";"5";"0";"0";"Telangana";"Telangana Rashtra Samithi";"Elected";"18-May-14";"11-06-2015";"First";"68";"Male";"Post Graduate";"16th";"0";"0";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kakoli Ghosh Dastidar";"Barasat";"62.06%";"17";"10";"2";"West Bengal";"All India Trinamool Congress";"Elected";"18-May-14";"In office";"Second";"59";"Female";"Professional Post Graduate";"16th";"1";"1";"5";"1";"4";"2";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kalikesh Narayan Singh Deo";"Bolangir";"78.12%";"23";"429";"5";"Odisha";"Biju Janata Dal";"Elected";"18-May-14";"In office";"Second";"44";"Male";"Graduate";"16th";"4";"2";"7";"0";"5";"3";"0";"0";"0";"4";"7";"25";"20";"24";"26";"9";"19";"6";"6";"3";"16";"6";"6";"6";"11";"6";"7";"12";"10";"9";"7";"8";"8";"13";"10";"4";"4";"1";"2";"18";"8";"22";"11";"1";"1";"4";"4";"0";"2";"2";"6";"3";"3";"4";"6";"10";"1";"0";"5";"10";"1";"3";"3";"4";"0";"0";"0";"0";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kalraj Mishra";"Deoria";"97.20%";"1";"0";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"77";"Male";"Post Graduate";"16th";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kalvakuntla Kavitha";"Nizamabad";"56.47%";"41";"284";"3";"Telangana";"Telangana Rashtra Samithi";"Elected";"18-May-14";"In office";"First";"41";"Female";"Professional Graduate";"16th";"0";"8";"12";"4";"5";"1";"5";"2";"0";"3";"3";"6";"23";"6";"10";"5";"4";"15";"3";"3";"6";"5";"2";"2";"7";"4";"1";"13";"8";"7";"4";"5";"13";"13";"14";"4";"4";"5";"2";"5";"6";"10";"3";"2";"2";"4";"5";"0";"1";"4";"3";"2";"2";"5";"2";"7";"1";"5";"2";"4";"2";"1";"4";"0";"3";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kalyan Banerjee";"Serampore";"75.29%";"58";"82";"0";"West Bengal";"All India Trinamool Congress";"Elected";"18-May-14";"In office";"Second";"62";"Male";"Professional Graduate";"16th";"1";"9";"29";"1";"3";"0";"8";"5";"0";"0";"1";"8";"7";"4";"5";"1";"2";"0";"1";"0";"0";"2";"1";"0";"3";"0";"0";"0";"3";"3";"1";"0";"3";"6";"0";"5";"0";"0";"1";"2";"4";"2";"0";"2";"2";"0";"0";"0";"0";"0";"1";"1";"1";"2";"1";"0";"0";"0";"0";"3";"2";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kamal Nath";"Chhindwara";"54.18%";"0";"262";"0";"Madhya Pradesh";"Indian National Congress";"Elected";"18-May-14";"In office";"Ninth";"72";"Male";"Graduate";"16th";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"25";"22";"13";"16";"7";"17";"14";"4";"1";"7";"10";"0";"4";"1";"1";"3";"2";"16";"4";"1";"7";"5";"18";"2";"10";"1";"3";"1";"4";"5";"5";"0";"2";"2";"1";"0";"0";"0";"1";"8";"0";"3";"3";"0";"2";"1";"0";"1";"3";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kamakhya Prasad Tasa";"Jorhat";"74.12%";"42";"110";"0";"Assam";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"43";"Male";"Post Graduate";"16th";"13";"15";"3";"2";"4";"0";"3";"1";"0";"0";"0";"7";"5";"1";"5";"3";"8";"10";"1";"0";"5";"0";"3";"1";"0";"0";"1";"1";"1";"4";"1";"1";"3";"5";"0";"6";"0";"0";"3";"3";"3";"7";"0";"3";"0";"2";"0";"0";"0";"1";"3";"1";"0";"0";"1";"3";"1";"1";"2";"0";"0";"0";"0";"0";"0";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kamalbhan Singh Marabi";"Surguja";"75.24%";"8";"33";"0";"Chhattisgarh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"55";"Male";"Post Graduate";"16th";"1";"2";"0";"3";"0";"2";"0";"0";"1";"0";"1";"0";"1";"0";"0";"2";"5";"1";"1";"6";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"4";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kamla Devi Patle";"Janjgir-Champa";"80.88%";"34";"632";"0";"Chhattisgarh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Second";"52";"Female";"Under Graduate";"16th";"6";"11";"4";"5";"0";"3";"1";"3";"2";"6";"23";"24";"19";"13";"23";"14";"21";"14";"11";"12";"9";"9";"12";"3";"11";"3";"9";"13";"20";"21";"11";"13";"19";"28";"20";"10";"9";"9";"3";"21";"14";"9";"9";"9";"12";"12";"11";"0";"0";"6";"6";"3";"7";"2";"13";"7";"8";"10";"7";"9";"4";"3";"12";"9";"0";"1";"1";"0";"11";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kamlesh Paswan";"Bansgaon";"75.65%";"13";"40";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Second";"42";"Male";"Inter/ Higher Secondary";"16th";"2";"7";"0";"0";"2";"1";"0";"1";"0";"0";"1";"0";"1";"10";"1";"1";"3";"1";"1";"0";"0";"0";"0";"1";"2";"0";"1";"0";"1";"0";"0";"0";"0";"2";"3";"1";"0";"0";"0";"2";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kantilal Bhuria";"Ratlam";"65.92%";"9";"28";"0";"Madhya Pradesh";"Indian National Congress";"Elected";"27-Nov-15";"In office";"Fifth";"68";"Male";"Post Graduate";"16th";"0";"4";"0";"1";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"5";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kanwar Singh Tanwar";"Amroha";"89.59%";"23";"352";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"58";"Male";"Matric";"16th";"12";"8";"1";"1";"0";"1";"0";"0";"1";"3";"3";"8";"12";"3";"30";"19";"13";"15";"9";"10";"5";"3";"4";"5";"3";"2";"0";"7";"8";"9";"9";"8";"11";"14";"6";"9";"5";"2";"5";"7";"22";"7";"4";"3";"4";"2";"5";"0";"0";"4";"8";"1";"3";"3";"4";"7";"2";"8";"2";"2";"0";"3";"2";"3";"0";"3";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kapil Krishna Thakur";"Bongaon";"68.50%";"0";"0";"0";"West Bengal";"All India Trinamool Congress";"Elected";"18-May-14";"13-10-2014";"First";"78";"Male";"Graduate";"16th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kapil Moreshwar Patil";"Bhiwandi";"90.53%";"54";"463";"0";"Maharashtra";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"58";"Male";"Graduate";"16th";"14";"24";"0";"5";"3";"3";"0";"4";"3";"3";"12";"19";"28";"14";"24";"13";"26";"11";"5";"8";"4";"16";"9";"14";"6";"6";"3";"8";"18";"9";"7";"4";"22";"20";"12";"10";"0";"0";"4";"9";"6";"10";"5";"3";"5";"12";"12";"0";"0";"2";"6";"1";"0";"4";"5";"4";"3";"17";"3";"8";"0";"5";"1";"1";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Karadi Sanganna Amarappa";"Koppal";"81.06%";"35";"148";"0";"Karnataka";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"68";"Male";"Inter/ Higher Secondary";"16th";"3";"27";"0";"1";"2";"2";"0";"0";"0";"0";"2";"5";"14";"1";"9";"3";"6";"2";"1";"2";"3";"1";"2";"5";"3";"1";"1";"6";"1";"4";"4";"0";"8";"16";"1";"5";"0";"2";"0";"5";"8";"1";"3";"1";"2";"1";"1";"0";"0";"1";"0";"3";"0";"1";"3";"3";"0";"2";"1";"1";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
