"Name";"Constituency";"Minister";"Attendance";"Debates";"Questions";"Private Member Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Comment";"Lok Sabha";"Questions (Ayush)";"Questions (Road Transport And Highways)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Chemicals And Fertilizers)";"Questions (Civil Aviation)";"Questions (Panchayati Raj)";"Questions (Railways)";"Questions (Home Affairs)";"Questions (Health And Family Welfare)";"Questions (Women And Child Development)";"Questions (Jal Shakti)";"Questions (Fisheries, Animal Husbandry And Dairying)";"Questions (Agriculture And Farmers Welfare)";"Questions (Finance)";"Questions (Housing And Urban Affairs)";"Questions (Electronics And Information Technology)";"Questions (Commerce And Industry)";"Questions (Youth Affairs And Sports)";"Questions (Tourism)";"Questions (External Affairs)";"Questions (Atomic Energy)";"Questions (Labour And Employment)";"Questions (Education)";"Debates (Ls - Matters Under (Rule-377))";"Debates (Government Bills)";"Debates (Budget (General))";"Debates (Special Mention)";"Debates (Ls - Short Duration Discussions (Rule-193))";"Debates (Motion Of Thanks On The President'S Address)";"Questions (Corporate Affairs)";"Questions (Rural Development)";"Questions (Law And Justice)";"Questions (Petroleum And Natural Gas)";"Questions (Communication)";"Questions (Ports, Shipping And Waterways)";"Questions (Power)";"Questions (Earth Sciences)";"Questions (Heavy Industries)";"Questions (Micro, Small And Medium Enterprises)";"Questions (Mines)";"Questions (Environment, Forest And Climate Change)";"Questions (Coal)";"Questions (Prime Minister)";"Questions (Statistics And Programme Implementation)";"Debates (Submissions By Members)";"Questions (Planning)";"Questions (Social Justice And Empowerment)";"Questions (Culture)";"Questions (Steel)";"Questions (Tribal Affairs)";"Questions (Defence)";"Questions (Skill Development And Entrepreneurship)";"Questions (Textiles)";"Questions (Science And Technology)";"Questions (Information And Broadcasting)";"Questions (Parliamentary Affairs)";"Questions (Cooperation)";"Questions (New And Renewable Energy)";"Questions (Food Processing Industries)";"Questions (Minority Affairs)";"Questions (Personnel, Public Grievances And Pensions)";"Questions (Space)";"Questions (Development Of North Eastern Region)";"Debates (Private Members' Resolutions)";"Debates (Ls - Calling Attention (Rule-197))";"Debates (Private Members' Bills)"
"Chavan Ravindra Vasantrao";"Nanded";"No";"80.00%";"1";"0";"0";"Maharashtra";"Indian National Congress";"Elected";"28-11-2024";"In Office";"First Term";"44";"Male";"Post Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Chavan Vasantrao Balwantrao";"Nanded";"No";"";"0";"17";"0";"Maharashtra";"Indian National Congress";"Elected";"09-06-2024";"26-08-2024";"First Term";"70";"Male";"Upto Higher Secondary";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"1.0";"0.0";"0.0";"1.0";"1.0";"0.0";"1.0";"2.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"2.0";"1.0";"0.0";"0.0";"0.0";"3.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Chavda Vinod Lakhamshi";"Kachchh";"No";"80.00%";"3";"42";"0";"Gujarat";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"Third Term";"45";"Male";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"2.0";"0.0";"0.0";"0.0";"2.0";"1.0";"2.0";"0.0";"3.0";"2.0";"1.0";"1.0";"0.0";"0.0";"2.0";"1.0";"0.0";"2.0";"1.0";"0.0";"1.0";"0.0";"2.0";"0.0";"0.0";"1.0";"0.0";"1.0";"1.0";"1.0";"1.0";"1.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"3.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"4.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"2.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Chhatrapal Singh Gangwar";"Bareilly";"No";"100.00%";"1";"0";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"First Term";"68";"Male";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Chhatrapati Shahu Shahaji";"Kolhapur";"No";"45.00%";"2";"0";"0";"Maharashtra";"Indian National Congress";"Elected";"09-06-2024";"In Office";"First Term";"77";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Chhotelal";"Robertsganj";"No";"100.00%";"7";"6";"0";"Uttar Pradesh";"Samajwadi Party";"Elected";"09-06-2024";"In Office";"Second Term";"52";"Male";"Upto Higher Secondary";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"3.0";"2.0";"1.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Chintamani Maharaj";"Surguja";"No";"80.00%";"0";"24";"0";"Chhattisgarh";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"First Term";"56";"Male";"Upto Higher Secondary";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"3.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"3.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"3.0";"2.0";"0.0";"3.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Chirag Paswan";"Hajipur";"Yes";"";"0";"0";"0";"Bihar";"Lok Janshakti Party (Ram Vilas)";"Elected";"09-06-2024";"In Office";"Third Term";"42";"Male";"Graduate";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Chudasama Rajeshbhai Naranbhai";"Junagadh";"No";"95.00%";"2";"51";"0";"Gujarat";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"Third Term";"42";"Male";"Upto Higher Secondary";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"1.0";"3.0";"2.0";"1.0";"0.0";"1.0";"3.0";"0.0";"3.0";"2.0";"2.0";"1.0";"1.0";"0.0";"2.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"3.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"3.0";"1.0";"0.0";"1.0";"1.0";"0.0";"1.0";"0.0";"2.0";"1.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"3.0";"2.0";"1.0";"0.0";"0.0";"0.0";"2.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"D M Kathir Anand";"Vellore";"No";"90.00%";"17";"49";"3";"Tamil Nadu";"Dravida Munnetra Kazhagam";"Elected";"09-06-2024";"In Office";"Second Term";"49";"Male";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"2.0";"0.0";"0.0";"2.0";"3.0";"1.0";"1.0";"0.0";"2.0";"1.0";"0.0";"0.0";"0.0";"2.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"5.0";"2.0";"4.0";"1.0";"5.0";"4.0";"2.0";"1.0";"0.0";"3.0";"2.0";"2.0";"3.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"1.0";"1.0";"0.0";"0.0";"1.0";"3.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"2.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"D Ravi Kumar";"Viluppuram";"No";"40.00%";"6";"45";"0";"Tamil Nadu";"Viduthalai Chiruthaigal Katchi";"Elected";"09-06-2024";"In Office";"Second Term";"64";"Male";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"1.0";"0.0";"2.0";"0.0";"1.0";"0.0";"1.0";"0.0";"6.0";"1.0";"1.0";"1.0";"3.0";"2.0";"4.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"4.0";"1.0";"2.0";"3.0";"0.0";"0.0";"0.0";"0.0";"2.0";"2.0";"1.0";"2.0";"0.0";"0.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Bharatsinhji Shankarji Dabhi";"Patan";"No";"100.00%";"3";"8";"0";"Gujarat";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"Second Term";"69";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"3.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Daggubati Purandeswari";"Rajahmundry";"No";"85.00%";"6";"41";"0";"Andhra Pradesh";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"Third Term";"65";"Female";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"1.0";"1.0";"0.0";"2.0";"2.0";"0.0";"4.0";"0.0";"2.0";"2.0";"1.0";"1.0";"3.0";"0.0";"0.0";"0.0";"3.0";"1.0";"2.0";"0.0";"0.0";"0.0";"2.0";"4.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"1.0";"2.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Daggumalla Prasada Rao";"Chittoor";"No";"95.00%";"2";"51";"0";"Andhra Pradesh";"Telugu Desam Party";"Elected";"09-06-2024";"In Office";"First Term";"63";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"4.0";"2.0";"0.0";"1.0";"1.0";"0.0";"1.0";"0.0";"3.0";"5.0";"2.0";"0.0";"0.0";"2.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"0.0";"0.0";"4.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"3.0";"3.0";"0.0";"0.0";"0.0";"1.0";"2.0";"1.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Damodar Agrawal";"Bhilwara";"No";"100.00%";"6";"28";"0";"Rajasthan";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"First Term";"69";"Male";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"1.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"3.0";"2.0";"0.0";"2.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"3.0";"0.0";"0.0";"2.0";"1.0";"0.0";"1.0";"0.0";"3.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"2.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Daroga Prasad Saroj";"Lalganj";"No";"65.00%";"5";"21";"0";"Uttar Pradesh";"Samajwadi Party";"Elected";"09-06-2024";"In Office";"Third Term";"72";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"1.0";"1.0";"2.0";"1.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"1.0";"1.0";"0.0";"1.0";"3.0";"0.0";"0.0";"0.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Darshan Singh Choudhary";"Hoshangabad";"No";"95.00%";"8";"27";"0";"Madhya Pradesh";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"First Term";"49";"Male";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"1.0";"1.0";"1.0";"1.0";"0.0";"4.0";"0.0";"1.0";"2.0";"0.0";"1.0";"2.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"3.0";"1.0";"3.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"2.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Dayanidhi Maran";"Chennai Central";"No";"75.00%";"2";"30";"0";"Tamil Nadu";"Dravida Munnetra Kazhagam";"Elected";"09-06-2024";"In Office";"Fourth Term";"58";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"2.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"2.0";"2.0";"1.0";"2.0";"1.0";"1.0";"2.0";"0.0";"1.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"2.0";"0.0";"2.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Dean Kuriakose";"Idukki";"No";"100.00%";"17";"52";"3";"Kerala";"Indian National Congress";"Elected";"09-06-2024";"In Office";"Second Term";"43";"Male";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"4.0";"1.0";"1.0";"2.0";"1.0";"5.0";"0.0";"5.0";"2.0";"2.0";"0.0";"1.0";"3.0";"0.0";"0.0";"2.0";"1.0";"2.0";"1.0";"0.0";"2.0";"2.0";"5.0";"1.0";"5.0";"4.0";"1.0";"1.0";"1.0";"3.0";"1.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"3.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Deepender Singh Hooda";"Rohtak";"No";"90.00%";"8";"8";"0";"Haryana";"Indian National Congress";"Elected";"09-06-2024";"In Office";"Fourth Term";"47";"Male";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"1.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"4.0";"1.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Devendra Singh Alias Bhole Singh";"Akbarpur";"No";"50.00%";"3";"10";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"Third Term";"70";"Male";"Upto Higher Secondary";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"2.0";"0.0";"0.0";"1.0";"0.0";"2.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Devesh Chandra Thakur";"Sitamarhi";"No";"55.00%";"0";"19";"0";"Bihar";"Janata Dal (United)";"Elected";"09-06-2024";"In Office";"First Term";"71";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"2.0";"0.0";"0.0";"1.0";"1.0";"1.0";"2.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Devesh Shakya";"Etah";"No";"100.00%";"11";"4";"0";"Uttar Pradesh";"Samajwadi Party";"Elected";"09-06-2024";"In Office";"First Term";"43";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"5.0";"0.0";"1.0";"4.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Devusinh Chauhan";"Kheda";"No";"100.00%";"1";"8";"0";"Gujarat";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"Third Term";"60";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Dhairyasheel Sambhajirao Mane";"Hatkanangle";"No";"65.00%";"3";"71";"0";"Maharashtra";"Shiv Sena";"Elected";"09-06-2024";"In Office";"Second Term";"44";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"3.0";"2.0";"1.0";"3.0";"3.0";"0.0";"2.0";"2.0";"2.0";"0.0";"2.0";"0.0";"3.0";"2.0";"4.0";"1.0";"3.0";"1.0";"1.0";"3.0";"1.0";"5.0";"5.0";"0.0";"0.0";"2.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"1.0";"1.0";"3.0";"1.0";"1.0";"0.0";"3.0";"0.0";"2.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"2.0";"2.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Dhanorkar Pratibha Suresh";"Chandrapur";"No";"80.00%";"6";"19";"0";"Maharashtra";"Indian National Congress";"Elected";"09-06-2024";"In Office";"First Term";"39";"Female";"Upto Higher Secondary";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"1.0";"0.0";"0.0";"3.0";"2.0";"1.0";"0.0";"0.0";"1.0";"3.0";"0.0";"1.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
